24/04/2017,17:04,27.86,85.77,4.2,Sindhupalchowk,NSC,
27/02/2017,10:06,27.38,86.13,4.7,Ramechhap,NSC,
27/02/2017,09:22,27.36,86.12,4.6,Ramechhap,NSC,
18/02/2017,06:00,27.79,84.8,4,Dhading,NSC,
04/02/2017,17:58,27.73,86.08,4.4,Dolakha,NSC,
17/10/2016,10:03,27.87,85.3,4,Nuwakot,NSC,
15/10/2016,18:22,28.04,85.17,4.1,Rasuwa,NSC,
12/10/2016,14:14,27.66,85.95,4.1,Dolakha,NSC,
11/10/2016,12:53,27.67,85.95,4.6,Dolakha,NSC,
07/10/2016,10:37,27.65,86.13,4.2,Dolakha,NSc,
18/09/2016,22:57,27.91,85.77,4.6,Sindhupalchowk,NSC,
05/09/2016,07:49,27.78,86.35,4.5,Dolakha,NSC,
05/09/2016,06:22,27.82,86.14,4.1,Dolakha,NSC,
23/07/2016,11:59,27.99,84.71,4.1,Gorkha,NSC,
08/07/2016,04:08,27.84,86.16,4.1,Dolakha,NSC,
07/07/2016,17:38,27.92,85.66,4.4,Sindhupalchowk,NSC,
07/07/2016,14:44,28.31,84.35,4.3,Lamjung,NSC/RSC,
22/06/2016,18:45,27.76,86.34,4.1,Dolakha,NSC,
21/06/2016,11:34,27.93,85.21,4.4,Nuwakot,NSC,
14/06/2016,05:12,28.03,84.64,4.3,Gorkha,NSC,
03/06/2016,05:10,27.96,85.62,4.4,Sindhupalchowk,NSC,
28/05/2016,15:24,27.94,85.5,4.6,Sindhupalchok,NSC/RSC,
24/05/2016,00:54,27.73,85.16,4.2,Dhading,NSC/RSC,
15/05/2016,04:30,27.93,85.5,4.4,Sindhupalchowk,NSC/RSC,
14/05/2016,05:05,27.97,85.55,4.3,Sindhupalchowk,NSC,
13/05/2016,01:09,27.69,86.24,4.1,Dolakha,NSC,
11/05/2016,14:37,28.01,84.68,4.5,Gorkha,NSC,
11/05/2016,07:04,28.01,84.94,4.4,Dhading,NSC,
26/04/2016,15:18,28.05,85.38,4.3,Rasuwa,NSC,
24/04/2016,02:16,28.08,85.13,4.2,Nuwakot,NSC,
22/04/2016,16:49,27.79,85.85,4,Sindhupalchowk,NSC,
22/04/2016,00:41,27.72,86.29,4,Dolakha,NSC,
12/04/2016,20:26,27.56,86.17,4.4,Dolakha,NSC,
09/04/2016,19.05,27.65,85.31,4.5,Lalitpur,NSC,
04/04/2016,10:16,27.72,86.09,4.7,Dolakha,NSC,
31/03/2016,04:26,27.93,85.59,4,Sindhupalchowk,NSC,
30/03/2016,18:11,27.89,85.73,4.7,Sindhupalchowk,NSC,
17/03/2016,10:59,27.34,86.27,4,Okhaldhunga,NSC,
15/03/2016,03:12,27.84,85.73,4.5,Sindhupalchowk,NSC,
13/03/2016,11:00,27.83,84.9,4.8,Dhading,NSC,
11/03/2016,15:13,27.9,85.87,4.2,Sindhupalchowk,NSC,
06/03/2016,07:10,27.69,85.93,4,Sindhupalchowk,NSC,
01/03/2016,16:30,27.79,85.73,4.3,Sindhupalchowk,NSC,
24/02/2016,15:07,27.8,85.74,5.4,Sindhupalchok,NSC,
21/02/2016,23:54,28.08,84.76,5.5,Gorkha,NSC,
20/02/2016,03:54,27.86,85.29,4.1,Nuwakot,NSC,
13/02/2016,20:22,27.81,85.72,4.3,Sindhupalchowk,NSC,
10/02/2016,22:12,27.84,85.71,4.6,Sindhupalchowk,NSC,
05/02/2016,22:05,27.95,85.52,5.5,Sindhupalchowk,NSC,
27/01/2016,20:42,27.83,85.83,4.4,Sindhupalchowk,NSC,
22/01/2016,01:07,28.06,85.09,4.6,Nuwakot,NSC,
15/01/2016,22:59,27.65,86.23,4.3,Dolakha,NSC,
15/01/2016,18:50,27.63,86.25,4.1,Dolakha,NSC,
09/01/2016,23:28,27.48,86.01,4.4,Ramechhap,NSC,
04/01/2016,18:47,27.75,86.12,4.1,Dolakha,NSC,
02/01/2016,03:15,28.01,85.8,4.2,Sindhupalchowk,NSC,
31/12/2015,07:41,27.86,85.72,4.3,Sindhupalchowk,NSC,
